comment,label
"Title: Man turns himself in to the FBI for killing Abraham Lincoln in 1865  Article: Washington, D.C. | A man from Virginia turned himself in at the FBI headquarters this morning, claiming that he was guilty of killing more than 30 people, including the 16th President of the United States, Abraham Lincoln. 71-year old Leroy Timothy Anderson, claims he worked for 35 years as a time traveling assassin for a secret governmental agency, and says he has killed people in various times, going from 1678 to 2239. The elderly man declared that his actions were all legitimate and ordered by the government, but that he fears his former employers might want to eliminate him because he knows too much. He claims that he was part a program called the Chronos Project, which was designed, coordinated, and executed by the United States Central Intelligence Agency (CIA) and the United States special operations forces, under the supervision of the Defense Advanced Research Projects Agency (DARPA). This ultra-secret program would have orchestrated more than 1200 assassinations, spreading out over almost all of human history, including many famous characters like Martin Luther King Jr, Julius Cesar or Mahatma Gandhi. His story was clearly one of the most fascinating that I have ever heard, said FBI director, James Corney. Mr. Anderson not only claims to have killed President Lincoln, but also 32 others, including at least twelve are not even born yet. I know that conspiracy theorists will accuse us of covering up Lincolns murder and stuff like that, but the FBI isnt going to open an investigation.",0
"Title: Senator Flake's Sad, Pathetic and Ignorant Speech  Article: Senator Flake, a politician who works hard at pretending to believe something, gave a speech attacking the President of the United States for criticizing the media. This Doonesbury character come to life 'courageously' delivered a speech defending major media conglomerates and their right to override elections. Because he loves freedom and truth. The speech perfectly captured Flake's insipid cluelessness. It reads like it was written by a college sophomore who is very passionate about ideas, but doesn't actually understand them. Take his opening. ""Mr. President, near the beginning of the document that made us free, our Declaration of Independence, Thomas Jefferson wrote: ""We hold these truths to be self-evident ..."" So, from our very beginnings, our freedom has been predicated on truth. The founders were visionary in this regard, understanding well that good faith and shared facts between the governed and the government would be the very basis of this ongoing idea of America."" It's an applause line, but no one's applauding except the leftist media that hates the founders and Jefferson. It's also a line that could have only been produced by googling, ""founders"" and ""truth"". Jefferson wasn't writing about truth, as Flake invokes it, but about the principles on which this nation is based. And he's saying that being self-evident, they don't require further philosophical proofs. It has nothing to do with ""shared facts between the governed and the government."" That's a creepy prog idea with a whiff of 1984.",1
"Title: Critics: Its 1929 again! as Trump announces farmer bailout  Article: President Donald Trumps insanely bad policy of engaging in a trade war with China just got worse. Hes now announced hes spending $12 billion on a short term stimulus plan  read corporate welfare  to prop up farmers hurt by the trade war. Chinas retaliation for tariffs on its products was to place levies on 545 categories of U.S. products ranging from soybeans, pork, chicken and seafood to sport-utility vehicles and electric vehicles. As a result, orders for product have been cut, backing up inventory and causing export prices to plunge. It was apparently Trumps plan all along to set up a bailout for farmers. Back in April he instructed Agriculture Secretary Sonny Perdue to devise a plan to mitigate any financial damage to farmers bottom line. The aid package will consist of direct payments, food purchases and trade development, with more details on the program to come by Labor Day, according to Perdue and top officials. Nebraska Senator Ben Sasse (NeverTrump Republican) said Trumps plan was going to make it 1929 again. Trumps trade war is cutting the legs out from under farmers, Sasse said. And the White House will now spend $12 billion on gold crutches. Americas farmers dont want to be paid to lose  they want to win by feeding the world. This administrations tariffs and bailouts arent going to make America great again, theyre just going to make it 1929 again, Sasse said in a statement. Weve already told you that tariffs are a tax on the American people and a protection racket for crony businesses. Now the government will print more money (another tax) to prop up farmers being hurt by bad policy. This means the American people are being double taxed.",0
"Title: Planned Parenthood Workers That Reached Abortion Sales Quota Goals Were Rewarded With Pizza Parties  InvestmentWatch  Article: By Michael Snyder Could you imagine having a job where you had to meet an abortion sales quota every month? According to a shocking new investigation, this was actually happening at Planned Parenthood clinics all over the nation, and workers that reached abortion sales quota goals were rewarded with pizza parties and other incentives. Every year, Planned Parenthood murders hundreds of thousands of precious little children, but that isnt good enough for them, and so they have their workers aggressively push abortions to the vulnerable young women who come into their facilities. It is a national disgrace, and Planned Parenthood should be defunded by Congress immediately. But of course Planned Parenthood was never defunded after it was revealed that they systematically harvest baby parts and sell them off to the highest bidder, and so many observers are pessimistic that they will be defunded now. In this video, women that used to work for Planned Parenthood explain how the abortion sales quotas worked. This is evil that is on a level that is hard to put into words America will never, ever be great again as long as this kind of thing is allowed to happen. As you can see in the video, former Planned Parenthood center manager Sue Thayer says that if the number of abortions got too low pressure was really put on the workers to get the number back up to an acceptable level It was on this big grid, and if we hit our goal, our line was green. If we were 5 percent under it was yellow, if we were 10 percent under it was red. Thats when we needed to have a corrective action plan  why we didnt hit the goal, what were going to do differently next time, she said.",1
"Title: Syria Archives  Article: Home  Posts tagged with  Syria (Page 6) British Government Approved The Sale of Chemicals That Syria Used to Make Nerve Gas It is now reported that 10 months after civil unrest in Syria began, England allowed at least one chemical firm to sell chemicals to Syria capable of being used to make nerve gas. Obamas Smart Syria Decision Has Fractured The Republican Party Republicans have weighed in on the Presidents request for authorization to launch a limited strike, but they have splintered off into separate groups and resolution will not be coming anytime soon. Before He Was Against It, Paul Ryan Agreed with Obama on Syria Paul Ryan said on October 11, 2012, We agree with the same red line, actually, they (Obama/Biden) do on chemical weapons. Obamas Decision to Get Congressional Approval Gives Sanity a Chance War should be a matter for sober reflection, not knee-jerk reactions, and the president should be praised for opening the matter up to debate Where Syria is Concerned Lets not Become a Global George Zimmerman It is not hard to know what to think about the U.S. attacking Syria. Thats wrong.",0
"Title: The mother of all jets  Article: This picture just screams ""Jet Age!"" A B-47 using rocket assist and water injection for takeoff. The origin of the B-47 actually goes back to 1943 when the Army put out a proposal for a jet powered bomber/reconnaissance aircraft. Jets were still in their very early stages in 1943 but the Army was looking a few years down the road. Boeings initial design used a conventional straight wing and would have looked a lot like a B-29 with jet engines. Except by then it was 1945 and we had discovered the German (of course) research on swept wings. Im actually surprised it took us until 1945 to figure this out. Wed already seen German ME-262s with swept wings that were 100 mph faster than anything we had. Boeing went back to the drawing board. No, really, they used drawing boards in those days. They redesigned their prototype to incorporate our knew aerodynamic knowledge. Now the tricky part, where do we stick the engines? The British liked to bury the engines in the wing root. This certainly made for a clean looking design. I think the De Havilland Comet is still one of the best looking jets ever built. It just looks right. The problems with burying the engines are three-fold. Maybe more than that but I can only think of three right now: 1. The wing has to be fairly thick to make room for the engines. 2. Its hard to get at the engines to work on them. 3. Thats not really where you want them to be if one catches on fire or goes explody. The Boeing engineers decided that slinging the engines on pylons under the wing was the way to go. This let them build a nice thin wing and made the engines much easier to get at.",0
"Title: America's Immigration Voice.  Article: Before the installation of Loretta Lynch as Attorney General, Senator Jeff Sessions (not for nothing called ""America's Senator"") said he wouldn't support her nomination because she supported the right of illegal aliens to work in this country. Sessions was right, but she was confirmed anyway. The day after a horrific shooting spree by what appears to be a radicalized Muslim man and his partner in San Bernardino, California, Attorney General Loretta Lynch pledged to a Muslim advocacy and lobbying group that she would take aggressive action against anyone who used ""anti-Muslim rhetoric"" that ""edges toward violence."" Speaking to the audience at the Muslim Advocates' 10th anniversary dinner Thursday, Lynch said her ""greatest fear"" is the ""incredibly disturbing rise of anti-Muslim rhetoric"" in America and vowed to prosecute any guilty of what she deemed violence-inspiring speech. Loretta Lynch Vows to Procecute Those Who use 'Anti-Muslim' Speech That 'Edges Toward Violence' By James Barrett, Daily Wire, December 4, 2015  Now we see that Attorney General Lynch is also a danger to freedom of speech. From the Daily Wire:Let that sink in. The ""greatest fear"" of the nation's chief law enforcement officer is not Islamic terrorism carried out against Americans. Instead, her ""greatest fear"" is ""anti-Muslim rhetoric"" in the United States. That's rather astonishing when you sit back and consider it. ""The fear that you have just mentioned is in fact my greatest fear as a prosecutor, as someone who is sworn to the protection of all of the American people, which is that the rhetoric will be accompanied by acts of violence,"" she said.",0
"Title: HALF of Americans Die Broke! Pension Funds are GONE!  Article: HALF of Americans Die Broke! Pension Funds are GONE! Headline: Bitcoin & Blockchain Searches Exceed Trump! Blockchain Stocks Are Next! Its not just the government which has found itself in unpayable amounts of debt. The people of the U.S. have been following suit. Looking around the world we see that most people encountering the same mess. Even cultures who typically dont use debt and mortgages, have expanded into these ways in recent years. Theres no turning back. Why are pensions disappearing? Wiatrowski points to risk. Private companies want to take on less risk when helping to provide for their employees retirement. Its why these companies are ever more frequently turning to defined contribution plans  such as 401(k) plans  in which employees typically fund most of their own retirement by automatically setting aside money from each paycheck. This differs from traditional defined benefit pension plans, in which employers promise to provide their workers a specific monthly payout once they retire. In a defined benefit pension plan, the risk of retirement funding falls on employers, Wiatrowski says. Employers must provide the benefits theyve promised employees no matter if the company is struggling or if its made poor investments. This isnt the case with defined contribution plans. In defined contribution plans, the risk falls to the employees, Wiatrowski says. The employer might match some or all of their employees savings, but they still know that each month or once a year theyll have to put in X amount of dollars. Their commitment is a fixed amount.",0
"Title: Rubio Sacrificed His Campaign to Save America  Article: Marco Rubios campaign ended yesterday. He wont acknowledge it and neither will his hardcore supporters for some days, but he is done. It was one thing when he was running more or less even with Cruz across the South, like he did on Super Tuesday, but Rubio has clearly lost his mojo, finishing behind Kasich in Maine and well behind Cruz in Kentucky and Louisiana. Rubio is running out of gas both metaphorically and physically. This is now a race between Cruz and Trump. I say this as a guy who a couple weeks ago endorse Rubio as the best chance to beat Trump. However, if I were Ted Cruz, I would be hoping that Marco Rubio does not drop out yet, at least not until after Thursday. Because the reason that Cruz was able to reach up and stun Donald Trump yesterday is that Rubio has picked apart Trumps vanity and caused him to self-immolate in a way that no candidate has been able to either before or since. Rubio was able to expose Trumps business record in a way that Cruz never was. Moreover, Rubios insult comic routine exposed what an ugly, shallow, insincere man Trump is to an electorate that was almost ready to embrace him as inevitable. Unfortunately, it also seems to have had the effect that it has destroyed Rubios chances at obtaining the nomination himself. Many voters who were horrified by Trumps response were equally horrified by Rubios behavior that provoked it.",0
"Title: Were From the International Community and Were Here to Help  Article: Daniel Greenfield, a Shillman Journalism Fellow at the Freedom Center, is an investigative journalist and writer focusing on the radical left and Islamic terrorism. I've always felt the nine most terrifying words in the English language are: I'm from the Government, and I'm here to help, Ronald Reagan famously said. But the most terrifying words in every other language are, Were from the international community and were here to help. In Haitian Creole that would be, ""Nou soti nan kominote entnasyonal la e nou isit la pou ede."" When an earthquake hit Haiti in 10, everyone who was anyone in the international community quickly showed up. Bill Clinton had been appointed as the UN Special Envoy for Haiti a year earlier where he had touted the unique opportunities for public and private investment in Haiti. The earthquake opened up those opportunities to Clinton Foundation donors. A year later, Bill Clinton was touting a $45 million new hotel owned by an Irish cell phone tycoon who was a close pal as the only thing a country with a million homeless needed. A CNN puff piece claimed that the hotel would house aid workers, potential investors and other visitors. Like Anderson Cooper, who needs someplace to take a hot shower after standing waist deep in water for 5 minutes on camera. Haiti was a gold mine for the Clintons. Literally. Hillarys brother was added to the board of a small company that got a gold mining permit at half the standard rates with a 25 year renewal option. Tony, Hillarys brother, is a college dropout who had worked as a repo man and a prison guard. The Clintons not only turned a disaster into a slush fund, but even got Hillarys idiot brother a gig.",0
