,satire,conspiracy,hate,clickbait,propaganda,junksci
best_epoch,21,7,6,23,14,5
peak_cpu_memory_MB,7819.508,5270.532,7571.14,7807.508,7799.944,7616.64
peak_gpu_0_memory_MB,11992,5058,5058,5058,12191,5058
peak_gpu_1_memory_MB,7240,10896,10896,10896,7240,10896
peak_gpu_2_memory_MB,849,5790,5790,9160,2406,9160
peak_gpu_3_memory_MB,829,7616,7616,10088,829,7616
training_duration,6:01:23.317801,1:54:46.912195,3:25:38.049555,5:59:39.123133,7:02:10.634980,3:14:20.272382
training_start_epoch,0,0,0,0,0,0
training_epochs,24,16,15,24,23,14
epoch,24,16,15,24,23,14
training__precision_0,0.9999200105667114,0.9887346625328064,0.9958614706993103,0.9988003969192505,0.9976003766059875,0.9978278875350952
training__precision_1,0.9995999932289124,0.9663898944854736,0.9768832325935364,0.9955929517745972,0.9887910485267639,0.9860502481460571
training__recall_0,0.9999200105667114,0.9829999804496765,0.9951050877571106,0.9991199970245361,0.997759997844696,0.9970782399177551
training__recall_1,0.9995999932289124,0.9775999784469604,0.980400025844574,0.9940000176429749,0.9879999756813049,0.9896000027656555
training__fscore_0,0.9999200105667114,0.9858589768409729,0.9954831600189209,0.9989601969718933,0.9976801872253418,0.9974528551101685
training__fscore_1,0.9995999932289124,0.9719626307487488,0.9786384701728821,0.9947958588600159,0.9883953928947449,0.9878219366073608
training_accuracy,0.9998666666666667,0.9812,0.992543034357795,0.9982666666666666,0.9961333333333333,0.9957870018647696
training__macro_precision,0.9997600018978119,0.97756227850914,0.9863723516464233,0.9971966743469238,0.9931957125663757,0.9919390678405762
training__macro_recall,0.9997600018978119,0.9802999794483185,0.9877525568008423,0.9965600073337555,0.9928799867630005,0.9933391213417053
training_macro_fscore,0.9997600018978119,0.9789108037948608,0.9870608150959015,0.9968780279159546,0.9930377900600433,0.9926373958587646
training_validation_metric,0.9997600018978119,0.9789108037948608,0.9870608150959015,0.9968780279159546,0.9930377900600433,0.9926373958587646
training_loss,0.001558785086968722,0.06176752079151144,0.03721824850683574,0.014243331848677038,0.022901612526675382,0.021182479066632977
training_reg_loss,0.0,0.0,0.0,0.0,0.0,0.0
training_cpu_memory_MB,7819.508,5270.532,7571.14,7807.508,7799.944,7616.64
training_gpu_0_memory_MB,11992,5058,5058,5058,11992,5058
training_gpu_1_memory_MB,7240,10896,2756,849,3200,2756
training_gpu_2_memory_MB,849,5790,5790,3706,1632,5790
training_gpu_3_memory_MB,829,7616,7616,4356,829,7616
validation__precision_0,0.9765625,0.9019211530685425,0.9603313207626343,0.970823347568512,0.9750726819038391,0.9694305062294006
validation__precision_1,1.0,0.7886496782302856,0.7409420013427734,0.8574297428131104,0.7419899106025696,0.8455445766448975
